disease,symptoms,tests,specialist to Consult,urgency 
Recurrent Cystitis (with secondary infection),"Acute urinary retention, high fever with loin pain or sepsis features require urgent evaluation. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,Moderate
Post-infectious Epididymitis (with metastasis),"Acute urinary retention, high fever with loin pain or sepsis features require urgent evaluation. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,High
Post-infectious Epididymitis (with obstruction),"Dysuria, frequency, urgency and suprapubic discomfort suggest lower urinary tract involvement. Hematuria or flank pain suggests upper tract or serious urologic pathology. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,Moderate
Recurrent Cystitis (with obstruction),"Dysuria, frequency, urgency and suprapubic discomfort suggest lower urinary tract involvement. Hematuria or flank pain suggests upper tract or serious urologic pathology. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,Low
Recurrent Interstitial cystitis (complicated by sepsis),"Dysuria, frequency, urgency and suprapubic discomfort suggest lower urinary tract involvement. Hematuria or flank pain suggests upper tract or serious urologic pathology. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,Emergency
Fulminant Hydronephrosis (with secondary infection),"Acute urinary retention, high fever with loin pain or sepsis features require urgent evaluation. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,High
Post-infectious Interstitial cystitis (with metastasis),"Acute urinary retention, high fever with loin pain or sepsis features require urgent evaluation. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,High
Acute Testicular torsion,"Acute urinary retention, high fever with loin pain or sepsis features require urgent evaluation. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,Emergency
Mild Prostate cancer (complicated by sepsis),"Acute urinary retention, high fever with loin pain or sepsis features require urgent evaluation. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,Emergency
Chronic Testicular torsion (with secondary infection),"Acute urinary retention, high fever with loin pain or sepsis features require urgent evaluation. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,Emergency
Drug-induced Interstitial cystitis (with secondary infection),"Acute urinary retention, high fever with loin pain or sepsis features require urgent evaluation. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,Low
Fulminant Interstitial cystitis (with secondary infection),"Acute urinary retention, high fever with loin pain or sepsis features require urgent evaluation. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,High
Fulminant Cystitis,"Acute urinary retention, high fever with loin pain or sepsis features require urgent evaluation. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,High
Severe Benign prostatic hyperplasia (with obstruction),"Dysuria, frequency, urgency and suprapubic discomfort suggest lower urinary tract involvement. Hematuria or flank pain suggests upper tract or serious urologic pathology. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,High
Subacute Interstitial cystitis (with obstruction),"Acute urinary retention, high fever with loin pain or sepsis features require urgent evaluation. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,Moderate
Drug-induced Benign prostatic hyperplasia (complicated by sepsis),"Dysuria, frequency, urgency and suprapubic discomfort suggest lower urinary tract involvement. Hematuria or flank pain suggests upper tract or serious urologic pathology. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,Emergency
Severe Cystitis (with hemorrhage),"Acute urinary retention, high fever with loin pain or sepsis features require urgent evaluation. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,High
Drug-induced Hydronephrosis (complicated by sepsis),"Dysuria, frequency, urgency and suprapubic discomfort suggest lower urinary tract involvement. Hematuria or flank pain suggests upper tract or serious urologic pathology. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,Emergency
Acute Benign prostatic hyperplasia (with secondary infection),"Acute urinary retention, high fever with loin pain or sepsis features require urgent evaluation. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,Low
Chronic Interstitial cystitis (with metastasis),"Acute urinary retention, high fever with loin pain or sepsis features require urgent evaluation. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,High
Fulminant Hydronephrosis (with hemorrhage),"Acute urinary retention, high fever with loin pain or sepsis features require urgent evaluation. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,High
Subacute Cystitis (with obstruction),"Acute urinary retention, high fever with loin pain or sepsis features require urgent evaluation. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,Moderate
Post-infectious Testicular torsion,"Dysuria, frequency, urgency and suprapubic discomfort suggest lower urinary tract involvement. Hematuria or flank pain suggests upper tract or serious urologic pathology. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,Emergency
Subacute Testicular torsion (with hemorrhage),"Acute urinary retention, high fever with loin pain or sepsis features require urgent evaluation. Patients may also report gradual onset or episodic flares depending on the disease course.","Urinalysis and urine culture for infection, renal ultrasound for obstructive uropathy and PSA for prostate pathology in appropriate contexts. Cystoscopy when structural bladder disease is suspected. Further targeted testing is guided by clinical findings and specialist consultation.",Urologist,Emergency
Ectopic pregnancy,"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Moderate
Gestational diabetes,Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Moderate
Preeclampsia,Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Polycystic ovary syndrome,"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Low
Endometriosis,Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Moderate
Cervical dysplasia,"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Pelvic inflammatory disease,Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Moderate
Menorrhagia,"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Low
Acute Endometriosis (complicated by sepsis),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Emergency
Fulminant Ectopic pregnancy,Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Mild Cervical dysplasia (with obstruction),Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Moderate
Chronic Ectopic pregnancy (complicated by sepsis),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Emergency
Severe Pelvic inflammatory disease (with obstruction),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Drug-induced Ectopic pregnancy (with obstruction),Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Moderate
Post-infectious Polycystic ovary syndrome (with hemorrhage),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Fulminant Pelvic inflammatory disease (with obstruction),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Subacute Ectopic pregnancy (with obstruction),Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Fulminant Gestational diabetes (with secondary infection),Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Recurrent Endometriosis (with obstruction),Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Low
Chronic Polycystic ovary syndrome (with obstruction),Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Post-infectious Menorrhagia,Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Moderate
Recurrent Cervical dysplasia (with metastasis),Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Mild Cervical dysplasia (with secondary infection),Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Acute Menorrhagia (with secondary infection),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Moderate
Subacute Menorrhagia (with obstruction),Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Moderate
Mild Menorrhagia (with metastasis),Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Mild Pelvic inflammatory disease (with metastasis),Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Recurrent Preeclampsia,Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Recurrent Preeclampsia (with secondary infection),Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Recurrent Cervical dysplasia (complicated by sepsis),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Emergency
Post-infectious Ectopic pregnancy (with obstruction),Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Mild Endometriosis (with hemorrhage),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Low
Subacute Cervical dysplasia,"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Subacute Gestational diabetes (complicated by sepsis),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Emergency
Acute Ectopic pregnancy,"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Low
Acute Preeclampsia,Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Moderate
Drug-induced Menorrhagia (with obstruction),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Moderate
Mild Endometriosis (with secondary infection),Severe abdominal pain with syncope or hypotension in a woman of reproductive age raises concern for ectopic pregnancy. Patients may also report gradual onset or episodic flares depending on the disease course.,"Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Low
Post-infectious Gestational diabetes (complicated by sepsis),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Emergency
Mild Menorrhagia (complicated by sepsis),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Emergency
Subacute Cervical dysplasia (with metastasis),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Drug-induced Preeclampsia,"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Low
Acute Endometriosis (with metastasis),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Recurrent Polycystic ovary syndrome (complicated by sepsis),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Emergency
Acute Pelvic inflammatory disease (with obstruction),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,High
Recurrent Menorrhagia (with secondary infection),"Pelvic pain, abnormal bleeding or menstrual irregularities; pregnancy-related complications may present with pain and bleeding. Reproductive issues often present with infertility or cyclical pain. Patients may also report gradual onset or episodic flares depending on the disease course.","Pregnancy test, pelvic ultrasound, Pap smear and infection screening as appropriate. Hormonal assays or laparoscopy for complex gynecologic conditions. Further targeted testing is guided by clinical findings and specialist consultation.",Obstetrician-Gynecologist,Moderate
